name,district,pincode,phone,latitude,longitude
Green Agro Center,Nashik,422101,9876500001,19.9975,73.7898
Kisan Seeds Store,Nashik,422101,9876500002,19.9992,73.7905
Shree Fertilizers,Pune,411057,9876500003,18.5975,73.7185
Agro Plus,Pune,411027,9876500004,18.5852,73.8023
Farm Care Center,Nagpur,440001,9876500005,21.1458,79.0882
Mahalakshmi Agro,Aurangabad,431001,9876500006,19.8762,75.3433
Balaji Agro,Nanded,431601,9876500007,19.1383,77.3210
Sai Krushi Seva,Kolhapur,416003,9876500008,16.7050,74.2433
Krushi Mitra,Satara,415001,9876500009,17.6805,74.0183
Om Agro Agency,Solapur,413001,9876500010,17.6599,75.9064
Shivneri Agro,Sangli,416416,9876500011,16.8524,74.5815
Farmer Point,Ahmednagar,414001,9876500012,19.0948,74.7480
Agri World,Jalgaon,425001,9876500013,21.0077,75.5626
Modern Agro,Amravati,444601,9876500014,20.9374,77.7796
Reliable Seeds,Yavatmal,445001,9876500015,20.3899,78.1307
Shakti Agro,Latur,413512,9876500016,18.4088,76.5604
Farmland Solutions,Dhule,424001,9876500017,20.9042,74.7749
GrowMore Agro,Akola,444001,9876500018,20.7096,77.0082
Quality Agro,Beed,431122,9876500019,18.9891,75.7601
Agro India Store,Chhatrapati Sambhajinagar,431001,9876500020,19.8765,75.3430
